
# N項演算子

U+2211 U+03A3 # ∑

# CJKの記号及び句読点

U+3000 U+0020 # 　

# CJK統合漢字拡張A

U+5042 # 偂
U+5046 # 偆
U+5047 U+4EEE 新字体  # 假
U+504E # 偎
U+5053 # 偓
U+5057 # 偗
U+5063 # 偣
U+5066 # 偦
U+506A # 偪
U+5070 # 偰
U+5088 # 傈
U+5092 # 傒
U+5093 # 傓
U+5094 # 傔
U+5095 # 傕
U+5096 # 傖
U+509C # 傜
U+50A3 # 傣
U+50AA # 傪
U+50B1 # 傱
U+50B3 U+4F1D 新字体  # 傳
U+50BA # 傺
U+50BB # 傻
U+50C4 # 僄
U+50C7 # 僇
U+50CC # 僌
U+50CE # 僎
U+50D0 # 僐
U+50D4 # 僔
U+50D8 -      # 僘
U+50D9 # 僙
U+50DE U+507D 新字体  # 僞
U+50E1 # 僡
U+50E6 # 僦
U+50E9 # 僩
U+50F2 # 僲
U+50F3 # 僳
U+50F4 -      # 僴
U+50F9 U+4FA1 新字体  # 價
U+5103 # 儃
U+5106 # 儆
U+5108 # 儈
U+5109 U+5039 新字体  # 儉
U+510B # 儋
U+5117 # 儗
U+5118 U+4FAD JIS78   # 儘
U+511B # 儛
U+511E # 儞
U+5135 # 儵
U+514A # 兊
U+5152 U+5150 新字体  # 兒
U+5155 # 兕
U+5157 # 兗
U+5160 # 兠
U+5164 -      # 兤
U+5169 U+4E21 新字体  # 兩
U+5173 # 关
U+517B # 养
U+5183 # 冃
U+518B # 冋
U+518C U+518A 新字体  # 册
U+5198 # 冘
U+519D # 冝
U+51A3 # 冣
U+51A8 U+5BCC 異体字  # 冨
U+51AD # 冭
U+51BC # 冼
U+51BE -      # 冾
U+51C3 U+5857 # 凃
U+51C9 U+6DBC 異体字  # 凉
U+51CA # 凊
U+51DB U+51DC 異体字  # 凛
U+51DE # 凞
U+51E2 U+51E1 # 凢
U+51EC -      # 凬
U+51EE # 凮
U+51F3 # 凳
U+51F4 U+6191 # 凴
U+5201 # 刁
U+5202 U+5200 # 刂
U+5212 # 划
U+5213 # 刓
U+5215 # 刕
U+5216 # 刖
U+5249 # 剉
U+5255 # 剕
U+5257 # 剗
U+525C # 剜
U+525D U+5265 JIS2000 # 剝
U+5261 # 剡
U+5269 U+5270 新字体  # 剩
U+526C # 剬
U+5277 # 剷
U+5282 # 劂
U+5284 # 劄
U+528D U+5263 新字体  # 劍
U+5291 U+5264 新字体  # 劑
U+5293 # 劓
U+5298 # 劘
U+529C -      # 劜
U+52A4 # 劤
U+52A6 # 劦
U+52AF # 劯
U+52BA # 劺
U+52BB # 劻
U+52C0 -      # 勀
U+52C8 # 勈
U+52CA # 勊
U+52CC # 勌
U+52D0 # 勐
U+52D1 # 勑
U+52D6 U+52F2 # 勖
U+52DB # 勛
U+52DE U+52B4 新字体  # 勞
U+52F0 # 勰
U+52F3 U+52F2 新字体  # 勳
U+52F5 U+52B1 新字体  # 勵
U+52F7 # 勷
U+52F8 U+52E7 新字体  # 勸
U+52FB # 勻
U+5300 # 匀
U+5307 # 匇
U+530A # 匊
U+530B # 匋
U+531C # 匜
U+5324 # 匤
U+5335 # 匵
U+533E # 匾
U+5340 U+533A 新字体  # 區
U+5342 # 卂
U+5361 # 卡
U+5363 # 卣
U+5367 # 卧
U+536C # 卬
U+5372 -      # 卲
U+5377 U+5DFB 新字体  # 卷
U+537A # 卺
U+537D U+5373 JIS97   # 卽
U+5393 # 厓
U+539D # 厝
U+53A4 # 厤
U+53B2 # 厲
U+53B4 # 厴
U+53B7 # 厷
U+53C0 # 叀
U+53C3 U+53C2 新字体  # 參
U+53D5 # 叕
U+53DA # 叚
U+53DD U+544A # 叝
U+53F4 # 叴
U+53F5 # 叵
U+5412 # 吒
U+541E U+5451 JIS2000 # 吞
U+5424 # 吤
U+5427 # 吧
U+5428 # 吨
U+5443 # 呃
U+544D # 呍
U+5455 # 呕
U+5462 # 呢
U+5466 # 呦
U+546B # 呫
U+546C # 呬
U+5474 # 呴
U+547F # 呿
U+5488 # 咈
U+548A # 咊
U+548D # 咍
U+5495 # 咕
U+5496 # 咖
U+549C # 咜
U+54A0 # 咠
U+54A1 # 咡
U+54A6 # 咦
U+54A9 # 咩
U+54AD # 咭
U+54AE # 咮
U+54B7 # 咷
U+54BA # 咺
U+54BF # 咿
U+54C3 # 哃
U+54C6 # 哆
U+54EC # 哬
U+54EF # 哯
U+54F1 # 哱
U+54F3 # 哳
U+54FF # 哿
U+5500 # 唀
U+5501 # 唁
U+5509 # 唉
U+550E # 唎
U+5516 U+555E JIS2000 # 唖
U+552B # 唫
U+5535 # 唵
U+553C # 唼
U+5541 # 啁
U+5547 # 啇
U+554A # 啊
U+5550 # 啐
U+555E U+5516 JIS83   # 啞
U+5560 # 啠
U+5561 # 啡
U+5564 # 啤
U+557D # 啽
U+5581 # 喁
U+5582 # 喂
U+5586 # 喆
U+5588 # 喈
U+558E # 喎
U+5591 # 喑
U+55AD # 喭
U+55AE U+5358 新字体  # 單
U+55BF # 喿
U+55C9 # 嗉
U+55CC # 嗌
U+55CE # 嗎
U+55D1 # 嗑
U+55D2 # 嗒
U+55DD # 嗝
U+55E2 # 嗢
U+55E9 # 嗩
U+5607 # 嘇
U+5608 # 嘈
U+560E # 嘎
U+5610 # 嘐
U+5628 U+562F # 嘨
U+5630 # 嘰
U+5637 # 嘷
U+563B # 嘻
U+563D # 嘽
U+563F # 嘿
U+5640 # 噀
U+5647 # 噇
U+5649 # 噉
U+5653 U+5618 JIS2000 # 噓
U+565B U+5699 JIS2000 # 噛
U+565E # 噞
U+5660 # 噠
U+5666 # 噦
U+566D # 噭
U+566F # 噯
U+5671 # 噱
U+5672 # 噲
U+5676 # 噶
U+5688 # 嚈
U+568C # 嚌
U+5695 # 嚕
U+5699 U+565B JIS83   # 嚙
U+569A # 嚚
U+569D # 嚝
U+569E # 嚞
U+56A2 U+56CA JIS2000 # 嚢
U+56A8 # 嚨
U+56A9 # 嚩
U+56AC # 嚬
U+56AD # 嚭
U+56B2 # 嚲
U+56B3 # 嚳
U+56B4 U+53B3 新字体  # 嚴
U+56C5 # 囅
U+56C9 # 囉
U+56CA U+56A2 JIS83   # 囊
U+56CD # 囍
U+56D1 U+5631 新字体  # 囑
U+56DF # 囟
U+56E8 # 囨
U+56F6 # 囶
U+56F7 # 囷
U+5708 U+570F 新字体  # 圈
U+570A # 圊
U+570B U+56FD 新字体  # 國
U+570D U+56F2 新字体  # 圍
U+5713 U+5186 新字体  # 圓
U+5715 # 圕
U+5716 U+56F3 新字体  # 圖
U+5718 U+56E3 新字体  # 團
U+5721 # 圡
U+5723 # 圣
U+5729 # 圩
U+572F # 圯
U+5733 # 圳
U+5734 # 圴
U+5745 # 坅
U+5746 # 坆
U+574C # 坌
U+574D # 坍
U+5759 -      # 坙
U+5765 -      # 坥
U+5768 # 坨
U+576F U+58DE # 坯
U+5770 # 坰
U+5773 # 坳
U+5774 # 坴
U+5775 # 坵
U+5777 # 坷
U+577B # 坻
U+577C # 坼
U+579A # 垚
U+579C # 垜
U+579D # 垝
U+579E # 垞
U+57A8 # 垨
U+57AC # 垬
U+57B8 # 垸
U+57C7 # 埇
U+57C8 # 埈
U+57CC # 埌
U+57CF # 埏
U+57D7 # 埗
U+57DC U+91CE 異体字  # 埜
U+57DE # 埞
U+57E4 # 埤
U+57E6 # 埦
U+57ED # 埭
U+57F0 # 埰
U+57F5 # 埵
U+57F6 # 埶
U+57F8 # 埸
U+57FB # 埻
U+57FD # 埽
U+57FF # 埿
U+5804 # 堄
U+5809 # 堉
U+581E # 堞
U+5820 # 堠
U+5827 # 堧
U+582F U+5C2D 新字体  # 堯
U+5832 # 堲
U+5839 # 堹
U+5849 # 塉
U+584C # 塌
U+5861 U+586B JIS83   # 塡
U+5864 # 塤
U+5867 # 塧
U+586B U+5861 JIS2000 # 填
U+587C # 塼
U+5889 # 墉
U+588A # 墊
U+588B # 墋
U+588D # 墍
U+588F # 墏
U+5890 # 墐
U+5894 # 墔
U+589D # 墝
U+589E U+5897 JIS97   # 增
U+58A9 # 墩
U+58AA # 墪
U+58AE U+5815 新字体  # 墮
U+58B1 # 墱
U+58B2 -      # 墲
U+58C3 # 壃
U+58CD # 壍
U+58CE # 壎
U+58D2 # 壒
U+58D3 U+5727 新字体  # 壓
U+58D4 # 壔
U+58D8 U+5841 新字体  # 壘
U+58DA # 壚
U+58DE U+58CA 新字体  # 壞
U+58E0 # 壠
U+58E2 # 壢
U+58E4 U+58CC 新字体  # 壤
U+58E9 # 壩
U+58EF U+58EE 新字体  # 壯
U+58F3 U+6BBC # 壳
U+58F4 # 壴
U+58F7 U+58FA JIS78   # 壷
U+58F9 U+58F1 新字体  # 壹
U+58FA U+58F7 JIS78   # 壺
U+58FD U+5BFF 新字体  # 壽
U+5905 # 夅
U+5906 # 夆
U+590B # 夋
U+590C # 夌
U+590D U+5FA9 # 复
U+5914 # 夔
U+5924 # 夤
U+593D # 夽
U+5946 # 奆
U+5953 -      # 奓
U+595B # 奛
U+595D # 奝
U+595F # 奟
U+5963 -      # 奣
U+5967 U+5965 新字体  # 奧
U+596C U+5968 新字体  # 奬
U+596D # 奭
U+5975 # 奵
U+5976 # 奶
U+597C # 奼
U+598B # 妋
U+5992 U+59AC # 妒
U+599F # 妟
U+59A4 # 妤
U+59AE # 妮
U+59BA -      # 妺
U+59BC # 妼
U+59C3 # 姃
U+59C8 # 姈
U+59CD # 姍
U+59D2 # 姒
U+59DD # 姝
U+59DE # 姞
U+59E3 # 姣
U+59E4 # 姤
U+59E7 # 姧
U+59EE # 姮
U+59F8 U+598D JIS2000 # 姸
U+5A0C # 娌
U+5A0D # 娍
U+5A13 # 娓
U+5A17 # 娗
U+5A23 # 娣
U+5A27 # 娧
U+5A2D # 娭
U+5A55 # 婕
U+5A65 # 婥
U+5A67 # 婧
U+5A6D # 婭
U+5A77 # 婷
U+5A7A # 婺
U+5A7E # 婾
U+5A84 # 媄
U+5A8B # 媋
U+5A9C # 媜
U+5A9E # 媞
U+5A9F # 媟
U+5AA0 # 媠
U+5AA2 # 媢
U+5AA7 # 媧
U+5AB1 # 媱
U+5AB3 # 媳
U+5AB5 # 媵
U+5ABA # 媺
U+5ABF U+6127 # 媿
U+5AC4 # 嫄
U+5ADA # 嫚
U+5ADC # 嫜
U+5AE0 # 嫠
