#
# encoding-jis.txt
#

# US-ASCII

         JIS  EUC    SJIS W31J Unicode  UTF-16   UTF-8
-------- ---- ------ ---- ---- -------- -------- -------- ----
      75 75   75     75   75   U+0075   0075     75       [u]
      76 76   76     76   76   U+0076   0076     76       [v]
      77 77   77     77   77   U+0077   0077     77       [w]
      78 78   78     78   78   U+0078   0078     78       [x]
      79 79   79     79   79   U+0079   0079     79       [y]
      7A 7A   7A     7A   7A   U+007A   007A     7A       [z]
      7B 7B   7B     7B   7B   U+007B   007B     7B       [{]
      7C 7C   7C     7C   7C   U+007C   007C     7C       [|]
      7D 7D   7D     7D   7D   U+007D   007D     7D       [}]
      7E 7E   7E     -    7E   U+007E   007E     7E       [~]
      7F 7F   7F     7F   7F   U+007F   007F     7F       

# JIS X 0201

         JIS  EUC    SJIS W31J Unicode  UTF-16   UTF-8
-------- ---- ------ ---- ---- -------- -------- -------- ----
      5C 5C   -      5C   -    U+00A5   00A5     C2A5     [\]
      7E 7E   -      7E   -    U+203E   203E     E280BE   [~]
-------- ---- ------ ---- ---- -------- -------- -------- ----
      80 -    -      -    80   U+FFFD   FFFD     EFBFBD   
      81 -    -      -    81   U+FFFD   FFFD     EFBFBD   
      82 -    -      -    82   U+FFFD   FFFD     EFBFBD   
      83 -    -      -    83   U+FFFD   FFFD     EFBFBD   
      84 -    -      -    84   U+FFFD   FFFD     EFBFBD   
      85 -    -      -    85   U+FFFD   FFFD     EFBFBD   
      86 -    -      -    86   U+FFFD   FFFD     EFBFBD   
      87 -    -      -    87   U+FFFD   FFFD     EFBFBD   
      88 -    -      -    88   U+FFFD   FFFD     EFBFBD   
      89 -    -      -    89   U+FFFD   FFFD     EFBFBD   
      8A -    -      -    8A   U+FFFD   FFFD     EFBFBD   
      8B -    -      -    8B   U+FFFD   FFFD     EFBFBD   
      8C -    -      -    8C   U+FFFD   FFFD     EFBFBD   
      8D -    -      -    8D   U+FFFD   FFFD     EFBFBD   
      8E -    -      -    8E   U+FFFD   FFFD     EFBFBD   
      8F -    -      -    8F   U+FFFD   FFFD     EFBFBD   
      90 -    -      -    90   U+FFFD   FFFD     EFBFBD   
      91 -    -      -    91   U+FFFD   FFFD     EFBFBD   
      92 -    -      -    92   U+FFFD   FFFD     EFBFBD   
      93 -    -      -    93   U+FFFD   FFFD     EFBFBD   
      94 -    -      -    94   U+FFFD   FFFD     EFBFBD   
      95 -    -      -    95   U+FFFD   FFFD     EFBFBD   
      96 -    -      -    96   U+FFFD   FFFD     EFBFBD   
      97 -    -      -    97   U+FFFD   FFFD     EFBFBD   
      98 -    -      -    98   U+FFFD   FFFD     EFBFBD   
      99 -    -      -    99   U+FFFD   FFFD     EFBFBD   
      9A -    -      -    9A   U+FFFD   FFFD     EFBFBD   
      9B -    -      -    9B   U+FFFD   FFFD     EFBFBD   
      9C -    -      -    9C   U+FFFD   FFFD     EFBFBD   
      9D -    -      -    9D   U+FFFD   FFFD     EFBFBD   
      9E -    -      -    9E   U+FFFD   FFFD     EFBFBD   
      9F -    -      -    9F   U+FFFD   FFFD     EFBFBD   
-------- ---- ------ ---- ---- -------- -------- -------- ----
      A0 -    -      -    A0   U+FFFD   FFFD     EFBFBD   
      A1 21   8EA1   A1   A1   U+FF61   FF61     EFBDA1   [｡]
      A2 22   8EA2   A2   A2   U+FF62   FF62     EFBDA2   [｢]
      A3 23   8EA3   A3   A3   U+FF63   FF63     EFBDA3   [｣]
      A4 24   8EA4   A4   A4   U+FF64   FF64     EFBDA4   [､]
      A5 25   8EA5   A5   A5   U+FF65   FF65     EFBDA5   [･]
      A6 26   8EA6   A6   A6   U+FF66   FF66     EFBDA6   [ｦ]
      A7 27   8EA7   A7   A7   U+FF67   FF67     EFBDA7   [ｧ]
      A8 28   8EA8   A8   A8   U+FF68   FF68     EFBDA8   [ｨ]
      A9 29   8EA9   A9   A9   U+FF69   FF69     EFBDA9   [ｩ]
      AA 2A   8EAA   AA   AA   U+FF6A   FF6A     EFBDAA   [ｪ]
      AB 2B   8EAB   AB   AB   U+FF6B   FF6B     EFBDAB   [ｫ]
      AC 2C   8EAC   AC   AC   U+FF6C   FF6C     EFBDAC   [ｬ]
      AD 2D   8EAD   AD   AD   U+FF6D   FF6D     EFBDAD   [ｭ]
      AE 2E   8EAE   AE   AE   U+FF6E   FF6E     EFBDAE   [ｮ]
      AF 2F   8EAF   AF   AF   U+FF6F   FF6F     EFBDAF   [ｯ]
      B0 30   8EB0   B0   B0   U+FF70   FF70     EFBDB0   [ｰ]
      B1 31   8EB1   B1   B1   U+FF71   FF71     EFBDB1   [ｱ]
      B2 32   8EB2   B2   B2   U+FF72   FF72     EFBDB2   [ｲ]
      B3 33   8EB3   B3   B3   U+FF73   FF73     EFBDB3   [ｳ]
      B4 34   8EB4   B4   B4   U+FF74   FF74     EFBDB4   [ｴ]
      B5 35   8EB5   B5   B5   U+FF75   FF75     EFBDB5   [ｵ]
      B6 36   8EB6   B6   B6   U+FF76   FF76     EFBDB6   [ｶ]
      B7 37   8EB7   B7   B7   U+FF77   FF77     EFBDB7   [ｷ]
      B8 38   8EB8   B8   B8   U+FF78   FF78     EFBDB8   [ｸ]
      B9 39   8EB9   B9   B9   U+FF79   FF79     EFBDB9   [ｹ]
      BA 3A   8EBA   BA   BA   U+FF7A   FF7A     EFBDBA   [ｺ]
      BB 3B   8EBB   BB   BB   U+FF7B   FF7B     EFBDBB   [ｻ]
      BC 3C   8EBC   BC   BC   U+FF7C   FF7C     EFBDBC   [ｼ]
      BD 3D   8EBD   BD   BD   U+FF7D   FF7D     EFBDBD   [ｽ]
      BE 3E   8EBE   BE   BE   U+FF7E   FF7E     EFBDBE   [ｾ]
      BF 3F   8EBF   BF   BF   U+FF7F   FF7F     EFBDBF   [ｿ]
      C0 40   8EC0   C0   C0   U+FF80   FF80     EFBE80   [ﾀ]
      C1 41   8EC1   C1   C1   U+FF81   FF81     EFBE81   [ﾁ]
      C2 42   8EC2   C2   C2   U+FF82   FF82     EFBE82   [ﾂ]
      C3 43   8EC3   C3   C3   U+FF83   FF83     EFBE83   [ﾃ]
      C4 44   8EC4   C4   C4   U+FF84   FF84     EFBE84   [ﾄ]
      C5 45   8EC5   C5   C5   U+FF85   FF85     EFBE85   [ﾅ]
      C6 46   8EC6   C6   C6   U+FF86   FF86     EFBE86   [ﾆ]
      C7 47   8EC7   C7   C7   U+FF87   FF87     EFBE87   [ﾇ]
      C8 48   8EC8   C8   C8   U+FF88   FF88     EFBE88   [ﾈ]
      C9 49   8EC9   C9   C9   U+FF89   FF89     EFBE89   [ﾉ]
      CA 4A   8ECA   CA   CA   U+FF8A   FF8A     EFBE8A   [ﾊ]
      CB 4B   8ECB   CB   CB   U+FF8B   FF8B     EFBE8B   [ﾋ]
      CC 4C   8ECC   CC   CC   U+FF8C   FF8C     EFBE8C   [ﾌ]
      CD 4D   8ECD   CD   CD   U+FF8D   FF8D     EFBE8D   [ﾍ]
      CE 4E   8ECE   CE   CE   U+FF8E   FF8E     EFBE8E   [ﾎ]
      CF 4F   8ECF   CF   CF   U+FF8F   FF8F     EFBE8F   [ﾏ]
      D0 50   8ED0   D0   D0   U+FF90   FF90     EFBE90   [ﾐ]
      D1 51   8ED1   D1   D1   U+FF91   FF91     EFBE91   [ﾑ]
      D2 52   8ED2   D2   D2   U+FF92   FF92     EFBE92   [ﾒ]
      D3 53   8ED3   D3   D3   U+FF93   FF93     EFBE93   [ﾓ]
      D4 54   8ED4   D4   D4   U+FF94   FF94     EFBE94   [ﾔ]
      D5 55   8ED5   D5   D5   U+FF95   FF95     EFBE95   [ﾕ]
      D6 56   8ED6   D6   D6   U+FF96   FF96     EFBE96   [ﾖ]
      D7 57   8ED7   D7   D7   U+FF97   FF97     EFBE97   [ﾗ]
      D8 58   8ED8   D8   D8   U+FF98   FF98     EFBE98   [ﾘ]
      D9 59   8ED9   D9   D9   U+FF99   FF99     EFBE99   [ﾙ]
      DA 5A   8EDA   DA   DA   U+FF9A   FF9A     EFBE9A   [ﾚ]
      DB 5B   8EDB   DB   DB   U+FF9B   FF9B     EFBE9B   [ﾛ]
      DC 5C   8EDC   DC   DC   U+FF9C   FF9C     EFBE9C   [ﾜ]
      DD 5D   8EDD   DD   DD   U+FF9D   FF9D     EFBE9D   [ﾝ]
      DE 5E   8EDE   DE   DE   U+FF9E   FF9E     EFBE9E   [ﾞ]
      DF 5F   8EDF   DF   DF   U+FF9F   FF9F     EFBE9F   [ﾟ]
-------- ---- ------ ---- ---- -------- -------- -------- ----
      E0 -    -      -    E0   U+FFFD   FFFD     EFBFBD   
      E1 -    -      -    E1   U+FFFD   FFFD     EFBFBD   
      E2 -    -      -    E2   U+FFFD   FFFD     EFBFBD   
      E3 -    -      -    E3   U+FFFD   FFFD     EFBFBD   
      E4 -    -      -    E4   U+FFFD   FFFD     EFBFBD   
      E5 -    -      -    E5   U+FFFD   FFFD     EFBFBD   
      E6 -    -      -    E6   U+FFFD   FFFD     EFBFBD   
      E7 -    -      -    E7   U+FFFD   FFFD     EFBFBD   
      E8 -    -      -    E8   U+FFFD   FFFD     EFBFBD   
      E9 -    -      -    E9   U+FFFD   FFFD     EFBFBD   
      EA -    -      -    EA   U+FFFD   FFFD     EFBFBD   
      EB -    -      -    EB   U+FFFD   FFFD     EFBFBD   
      EC -    -      -    EC   U+FFFD   FFFD     EFBFBD   
      ED -    -      -    ED   U+FFFD   FFFD     EFBFBD   
      EE -    -      -    EE   U+FFFD   FFFD     EFBFBD   
      EF -    -      -    EF   U+FFFD   FFFD     EFBFBD   
      F0 -    -      -    F0   U+FFFD   FFFD     EFBFBD   
      F1 -    -      -    F1   U+FFFD   FFFD     EFBFBD   
      F2 -    -      -    F2   U+FFFD   FFFD     EFBFBD   
      F3 -    -      -    F3   U+FFFD   FFFD     EFBFBD   
      F4 -    -      -    F4   U+FFFD   FFFD     EFBFBD   
      F5 -    -      -    F5   U+FFFD   FFFD     EFBFBD   
      F6 -    -      -    F6   U+FFFD   FFFD     EFBFBD   
      F7 -    -      -    F7   U+FFFD   FFFD     EFBFBD   
      F8 -    -      -    F8   U+FFFD   FFFD     EFBFBD   
      F9 -    -      -    F9   U+FFFD   FFFD     EFBFBD   
      FA -    -      -    FA   U+FFFD   FFFD     EFBFBD   
      FB -    -      -    FB   U+FFFD   FFFD     EFBFBD   
      FC -    -      -    FC   U+FFFD   FFFD     EFBFBD   
      FD -    -      -    FD   U+FFFD   FFFD     EFBFBD   
      FE -    -      -    FE   U+FFFD   FFFD     EFBFBD   
      FF -    -      -    FF   U+FFFD   FFFD     EFBFBD   

# JIS X 0208 - マッピングが異なるもの

   区-点 JIS  EUC    SJIS W31J Unicode  UTF-16   UTF-8
-------- ---- ------ ---- ---- -------- -------- -------- ----
   01-33 2141 A1C1   8160 -    U+301C   301C     E3809C   [〜] -> 3F (W31J)
   01-33 -    -      -    8160 U+FF5E   FF5E     EFBD9E   [？]
   01-34 2142 A1C2   8161 -    U+2016   2016     E28096   [‖] -> 3F (W31J)
   01-34 -    -      -    8161 U+2225   2225     E288A5   [？]
   01-61 215D A1DD   817C -    U+2212   2212     E28892   [−] -> 3F (W31J)
   01-61 -    -      -    817C U+FF0D   FF0D     EFBC8D   [？]
   01-81 2171 A1F1   8191 -    U+00A2   00A2     C2A2     [¢]
   01-81 -    -      -    8191 U+FFE0   FFE0     EFBFA0   [？]
   01-82 2172 A1F2   8192 -    U+00A3   00A3     C2A3     [£]
   01-82 -    -      -    8192 U+FFE1   FFE1     EFBFA1   [？]
   02-44 224C A2CC   81CA -    U+00AC   00AC     C2AC     [¬]
   02-44 -    -      -    81CA U+FFE2   FFE2     EFBFA2   [？]

# JIS X 0208 - 非漢字

   区-点 JIS  EUC    SJIS W31J Unicode  UTF-16   UTF-8
-------- ---- ------ ---- ---- -------- -------- -------- ----
   01-01 2121 A1A1   8140 8140 U+3000   3000     E38080   [　]
   01-02 2122 A1A2   8141 8141 U+3001   3001     E38081   [、]
   01-03 2123 A1A3   8142 8142 U+3002   3002     E38082   [。]
   01-04 2124 A1A4   8143 8143 U+FF0C   FF0C     EFBC8C   [，]
   01-05 2125 A1A5   8144 8144 U+FF0E   FF0E     EFBC8E   [．]
   01-06 2126 A1A6   8145 8145 U+30FB   30FB     E383BB   [・]
   01-07 2127 A1A7   8146 8146 U+FF1A   FF1A     EFBC9A   [：]
   01-08 2128 A1A8   8147 8147 U+FF1B   FF1B     EFBC9B   [；]
   01-09 2129 A1A9   8148 8148 U+FF1F   FF1F     EFBC9F   [？]
   01-10 212A A1AA   8149 8149 U+FF01   FF01     EFBC81   [！]
   01-11 212B A1AB   814A 814A U+309B   309B     E3829B   [゛]
   01-12 212C A1AC   814B 814B U+309C   309C     E3829C   [゜]
   01-13 212D A1AD   814C 814C U+00B4   00B4     C2B4     [´]
   01-14 212E A1AE   814D 814D U+FF40   FF40     EFBD80   [｀]
   01-15 212F A1AF   814E 814E U+00A8   00A8     C2A8     [¨]
   01-16 2130 A1B0   814F 814F U+FF3E   FF3E     EFBCBE   [＾]
   01-17 2131 A1B1   8150 8150 U+FFE3   FFE3     EFBFA3   [￣]
   01-18 2132 A1B2   8151 8151 U+FF3F   FF3F     EFBCBF   [＿]
   01-19 2133 A1B3   8152 8152 U+30FD   30FD     E383BD   [ヽ]
   01-20 2134 A1B4   8153 8153 U+30FE   30FE     E383BE   [ヾ]
   01-21 2135 A1B5   8154 8154 U+309D   309D     E3829D   [ゝ]
   01-22 2136 A1B6   8155 8155 U+309E   309E     E3829E   [ゞ]
   01-23 2137 A1B7   8156 8156 U+3003   3003     E38083   [〃]
   01-24 2138 A1B8   8157 8157 U+4EDD   4EDD     E4BB9D   [仝]
   01-25 2139 A1B9   8158 8158 U+3005   3005     E38085   [々]
   01-26 213A A1BA   8159 8159 U+3006   3006     E38086   [〆]
   01-27 213B A1BB   815A 815A U+3007   3007     E38087   [〇]
   01-28 213C A1BC   815B 815B U+30FC   30FC     E383BC   [ー]
   01-29 213D A1BD   815C -    U+2014   2014     E28094   [―] -> 3F (W31J)
   01-29 -    -      -    815C U+2015   2015     E28095   [？]
   01-30 213E A1BE   815D 815D U+2010   2010     E28090   [‐]
   01-31 213F A1BF   815E 815E U+FF0F   FF0F     EFBC8F   [／]
   01-32 2140 A1C0   815F 815F U+FF3C   FF3C     EFBCBC   [＼]
   01-33 2141 A1C1   8160 -    U+301C   301C     E3809C   [〜] -> 3F (W31J)
   01-33 -    -      -    8160 U+FF5E   FF5E     EFBD9E   [？]
   01-34 2142 A1C2   8161 -    U+2016   2016     E28096   [‖] -> 3F (W31J)
   01-34 -    -      -    8161 U+2225   2225     E288A5   [？]
   01-35 2143 A1C3   8162 8162 U+FF5C   FF5C     EFBD9C   [｜]
   01-36 2144 A1C4   8163 8163 U+2026   2026     E280A6   […]
   01-37 2145 A1C5   8164 8164 U+2025   2025     E280A5   [‥]
   01-38 2146 A1C6   8165 8165 U+2018   2018     E28098   [‘]
   01-39 2147 A1C7   8166 8166 U+2019   2019     E28099   [’]
   01-40 2148 A1C8   8167 8167 U+201C   201C     E2809C   [“]
   01-41 2149 A1C9   8168 8168 U+201D   201D     E2809D   [”]
   01-42 214A A1CA   8169 8169 U+FF08   FF08     EFBC88   [（]
   01-43 214B A1CB   816A 816A U+FF09   FF09     EFBC89   [）]
   01-44 214C A1CC   816B 816B U+3014   3014     E38094   [〔]
   01-45 214D A1CD   816C 816C U+3015   3015     E38095   [〕]
   01-46 214E A1CE   816D 816D U+FF3B   FF3B     EFBCBB   [［]
   01-47 214F A1CF   816E 816E U+FF3D   FF3D     EFBCBD   [］]
   01-48 2150 A1D0   816F 816F U+FF5B   FF5B     EFBD9B   [｛]
   01-49 2151 A1D1   8170 8170 U+FF5D   FF5D     EFBD9D   [｝]
   01-50 2152 A1D2   8171 8171 U+3008   3008     E38088   [〈]
   01-51 2153 A1D3   8172 8172 U+3009   3009     E38089   [〉]
   01-52 2154 A1D4   8173 8173 U+300A   300A     E3808A   [《]
   01-53 2155 A1D5   8174 8174 U+300B   300B     E3808B   [》]
   01-54 2156 A1D6   8175 8175 U+300C   300C     E3808C   [「]
   01-55 2157 A1D7   8176 8176 U+300D   300D     E3808D   [」]
   01-56 2158 A1D8   8177 8177 U+300E   300E     E3808E   [『]
   01-57 2159 A1D9   8178 8178 U+300F   300F     E3808F   [』]
   01-58 215A A1DA   8179 8179 U+3010   3010     E38090   [【]
   01-59 215B A1DB   817A 817A U+3011   3011     E38091   [】]
   01-60 215C A1DC   817B 817B U+FF0B   FF0B     EFBC8B   [＋]
   01-61 215D A1DD   817C -    U+2212   2212     E28892   [−] -> 3F (W31J)
   01-61 -    -      -    817C U+FF0D   FF0D     EFBC8D   [？]
   01-62 215E A1DE   817D 817D U+00B1   00B1     C2B1     [±]
   01-63 215F A1DF   817E 817E U+00D7   00D7     C397     [×]
   01-64 2160 A1E0   8180 8180 U+00F7   00F7     C3B7     [÷]
   01-65 2161 A1E1   8181 8181 U+FF1D   FF1D     EFBC9D   [＝]
   01-66 2162 A1E2   8182 8182 U+2260   2260     E289A0   [≠]
