#
# encoding-csv3.txt
#
 
# 文字区分:
# No 規格等         補足情報   
# -- -------------- -----------
#  0 制御文字       制御文字   
#  1 ASCII          BasicJ     
#  2 JIS X 0201     互換文字   
#  3 JIS X 0208     NEC特殊文字
#  4 JIS X 0213 1面 IBM拡張文字
#  5 JIS X 0213 2面 その他BMP  
#  6 JIS X 0212     追加面     
#  7 ベンダー外字   結合文字   
#  9 未定義         結合文字列 
 
# 詳細区分:
# No Unicode      正規化       規格等       水準         Windows-31J        法令等        
# -- ------------ ------------ ------------ ------------ ------------------ --------------
#  0 -            変換なし     制御文字     非漢字       制御文字           非漢字        
#  1 基本多言語面 NFDで変換    ASCII        第1水準漢字  ASCII              常用漢字      
#  2 追加面       NFKCで変換   JIS X 0201   第2水準漢字  JIS X 0201         常用漢字(旧字)
#  3 結合文字     半角・全角形 JIS X 0208   第3水準漢字  JIS X 0208         人名用漢字(二)
#  4 結合文字列   NFCで変換    JIS X 0213   第4水準漢字  NEC特殊文字        人名用漢字(一)
#  5 -            -            JIS X 0212   補助漢字     NEC選定IBM拡張文字 表外漢字(印標)
#  6 -            -            -            -            IBM拡張文字        表外漢字(簡慣)
#  7 Decodeのみ可 -            ベンダー外字 ベンダー外字 Encodeのみ可       その他        
#  8 ユーザー外字 ユーザー外字 ユーザー外字 ユーザー外字 ユーザー外字       ユーザー外字  
#  9 未定義       未定義       未定義       未定義       未定義             未定義        
 
# ASCII
 
FF75    ,22,132020,[ｵ] -> [オ] (NFKC)
FF76    ,22,132020,[ｶ] -> [カ] (NFKC)
FF77    ,22,132020,[ｷ] -> [キ] (NFKC)
FF78    ,22,132020,[ｸ] -> [ク] (NFKC)
FF79    ,22,132020,[ｹ] -> [ケ] (NFKC)
FF7A    ,22,132020,[ｺ] -> [コ] (NFKC)
FF7B    ,22,132020,[ｻ] -> [サ] (NFKC)
FF7C    ,22,132020,[ｼ] -> [シ] (NFKC)
FF7D    ,22,132020,[ｽ] -> [ス] (NFKC)
FF7E    ,22,132020,[ｾ] -> [セ] (NFKC)
FF7F    ,22,132020,[ｿ] -> [ソ] (NFKC)
FF80    ,22,132020,[ﾀ] -> [タ] (NFKC)
FF81    ,22,132020,[ﾁ] -> [チ] (NFKC)
FF82    ,22,132020,[ﾂ] -> [ツ] (NFKC)
FF83    ,22,132020,[ﾃ] -> [テ] (NFKC)
FF84    ,22,132020,[ﾄ] -> [ト] (NFKC)
FF85    ,22,132020,[ﾅ] -> [ナ] (NFKC)
FF86    ,22,132020,[ﾆ] -> [ニ] (NFKC)
FF87    ,22,132020,[ﾇ] -> [ヌ] (NFKC)
FF88    ,22,132020,[ﾈ] -> [ネ] (NFKC)
FF89    ,22,132020,[ﾉ] -> [ノ] (NFKC)
FF8A    ,22,132020,[ﾊ] -> [ハ] (NFKC)
FF8B    ,22,132020,[ﾋ] -> [ヒ] (NFKC)
FF8C    ,22,132020,[ﾌ] -> [フ] (NFKC)
FF8D    ,22,132020,[ﾍ] -> [ヘ] (NFKC)
FF8E    ,22,132020,[ﾎ] -> [ホ] (NFKC)
FF8F    ,22,132020,[ﾏ] -> [マ] (NFKC)
FF90    ,22,132020,[ﾐ] -> [ミ] (NFKC)
FF91    ,22,132020,[ﾑ] -> [ム] (NFKC)
FF92    ,22,132020,[ﾒ] -> [メ] (NFKC)
FF93    ,22,132020,[ﾓ] -> [モ] (NFKC)
FF94    ,22,132020,[ﾔ] -> [ヤ] (NFKC)
FF95    ,22,132020,[ﾕ] -> [ユ] (NFKC)
FF96    ,22,132020,[ﾖ] -> [ヨ] (NFKC)
FF97    ,22,132020,[ﾗ] -> [ラ] (NFKC)
FF98    ,22,132020,[ﾘ] -> [リ] (NFKC)
FF99    ,22,132020,[ﾙ] -> [ル] (NFKC)
FF9A    ,22,132020,[ﾚ] -> [レ] (NFKC)
FF9B    ,22,132020,[ﾛ] -> [ロ] (NFKC)
FF9C    ,22,132020,[ﾜ] -> [ワ] (NFKC)
FF9D    ,22,132020,[ﾝ] -> [ン] (NFKC)
FF9E    ,22,132020,[ﾞ] -> (NFKC)
FF9F    ,22,132020,[ﾟ] -> (NFKC)
 
 
# JIS X 0208 - 非漢字
 
3000    ,31,123030,[　] -> [ ] (NFKC)
3001    ,31,103030,[、]
3002    ,31,103030,[。]
FF0C    ,32,133030,[，] -> [,] (NFKC)
FF0E    ,32,133030,[．] -> [.] (NFKC)
30FB    ,31,103030,[・]
FF1A    ,32,133030,[：] -> [:] (NFKC)
FF1B    ,32,133030,[；] -> [;] (NFKC)
FF1F    ,32,133030,[？] -> [?] (NFKC)
FF01    ,32,133030,[！] -> [!] (NFKC)
309B    ,31,123030,[゛]
309C    ,31,123030,[゜]
00B4    ,31,123030,[´]
FF40    ,32,133030,[｀] -> [`] (NFKC)
00A8    ,31,123030,[¨]
FF3E    ,32,133030,[＾] -> [^] (NFKC)
FFE3    ,32,133030,[￣] -> [¯] (半角形)
FF3F    ,32,133030,[＿] -> [_] (NFKC)
30FD    ,31,103030,[ヽ]
30FE    ,31,113030,[ヾ]
309D    ,31,103030,[ゝ]
309E    ,31,113030,[ゞ]
3003    ,31,103030,[〃]
4EDD    ,31,103037,[仝]
3005    ,31,103030,[々]
3006    ,31,103030,[〆]
3007    ,31,103030,[〇]
30FC    ,31,103030,[ー]
2014    ,31,103090,[—]
2015    ,72,107730,[―]
2010    ,31,103030,[‐]
FF0F    ,32,133030,[／] -> [/] (NFKC)
FF3C    ,32,133030,[＼] -> [\] (NFKC)
301C    ,31,103090,[〜]
FF5E    ,42,134030,[～] -> [~] (NFKC)
2016    ,31,103090,[‖]
2225    ,42,104030,[∥]
FF5C    ,32,133030,[｜] -> [|] (NFKC)
2026    ,31,123030,[…]
2025    ,31,123030,[‥]
2018    ,31,103030,[‘]
2019    ,31,103030,[’]
201C    ,31,103030,[“]
201D    ,31,103030,[”]
FF08    ,32,133030,[（] -> [(] (NFKC)
FF09    ,32,133030,[）] -> [)] (NFKC)
3014    ,31,103030,[〔]
3015    ,31,103030,[〕]
FF3B    ,32,133030,[［] -> [[] (NFKC)
FF3D    ,32,133030,[］] -> []] (NFKC)
FF5B    ,32,133030,[｛] -> [{] (NFKC)
FF5D    ,32,133030,[｝] -> [}] (NFKC)
3008    ,31,103030,[〈]
3009    ,31,103030,[〉]
300A    ,31,103030,[《]
300B    ,31,103030,[》]
300C    ,31,103030,[「]
300D    ,31,103030,[」]
300E    ,31,103030,[『]
300F    ,31,103030,[』]
3010    ,31,103030,[【]
3011    ,31,103030,[】]
FF0B    ,32,133030,[＋] -> [+] (NFKC)
2212    ,31,103090,[−]
FF0D    ,42,134030,[－] -> [-] (NFKC)
00B1    ,31,103030,[±]
00D7    ,31,103030,[×]
00F7    ,31,103030,[÷]
FF1D    ,32,133030,[＝] -> [=] (NFKC)
2260    ,31,113030,[≠]
FF1C    ,32,133030,[＜] -> [<] (NFKC)
FF1E    ,32,133030,[＞] -> [>] (NFKC)
2266    ,31,103030,[≦]
2267    ,31,103030,[≧]
221E    ,31,103030,[∞]
2234    ,31,103030,[∴]
2642    ,31,103030,[♂]
2640    ,31,103030,[♀]
00B0    ,31,103030,[°]
2032    ,31,103030,[′]
2033    ,31,123030,[″]
2103    ,31,123030,[℃]
FFE5    ,32,133030,[￥] -> [¥] (NFKC)
FF04    ,32,133030,[＄] -> [$] (NFKC)
00A2    ,31,103070,[¢]
FFE0    ,72,137730,[￠] -> [¢] (NFKC)
00A3    ,31,103070,[£]
FFE1    ,72,137730,[￡] -> [£] (NFKC)
FF05    ,32,133030,[％] -> [%] (NFKC)
FF03    ,32,133030,[＃] -> [#] (NFKC)
FF06    ,32,133030,[＆] -> [&] (NFKC)
FF0A    ,32,133030,[＊] -> [*] (NFKC)
FF20    ,32,133030,[＠] -> [@] (NFKC)
00A7    ,31,103030,[§]
2606    ,31,103030,[☆]
2605    ,31,103030,[★]
25CB    ,31,103030,[○]
25CF    ,31,103030,[●]
25CE    ,31,103030,[◎]
25C7    ,31,103030,[◇]
 
25C6    ,31,103030,[◆]
25A1    ,31,103030,[□]
25A0    ,31,103030,[■]
25B3    ,31,103030,[△]
25B2    ,31,103030,[▲]
25BD    ,31,103030,[▽]
25BC    ,31,103030,[▼]
203B    ,31,103030,[※]
3012    ,31,103030,[〒]
2192    ,31,103030,[→]
2190    ,31,103030,[←]
2191    ,31,103030,[↑]
2193    ,31,103030,[↓]
3013    ,31,103030,[〓]
2208    ,31,103030,[∈]
220B    ,31,103030,[∋]
2286    ,31,103030,[⊆]
2287    ,31,103030,[⊇]
2282    ,31,103030,[⊂]
2283    ,31,103030,[⊃]
222A    ,31,103030,[∪]
2229    ,31,103030,[∩]
2227    ,31,103030,[∧]
2228    ,31,103030,[∨]
00AC    ,31,103070,[¬]
FFE2    ,72,137730,[￢] -> [¬] (NFKC)
21D2    ,31,103030,[⇒]
21D4    ,31,103030,[⇔]
2200    ,31,103030,[∀]
2203    ,31,103030,[∃]
2220    ,31,103030,[∠]
22A5    ,31,103030,[⊥]
2312    ,31,103030,[⌒]
2202    ,31,103030,[∂]
2207    ,31,103030,[∇]
2261    ,31,103030,[≡]
2252    ,31,103030,[≒]
226A    ,31,103030,[≪]
226B    ,31,103030,[≫]
221A    ,31,103030,[√]
223D    ,31,103030,[∽]
221D    ,31,103030,[∝]
2235    ,31,103030,[∵]
222B    ,31,103030,[∫]
222C    ,31,123030,[∬]
212B    ,31,143030,[Å] -> [Å] (NFC)
2030    ,31,103030,[‰]
266F    ,31,103030,[♯]
266D    ,31,103030,[♭]
266A    ,31,103030,[♪]
2020    ,31,103030,[†]
2021    ,31,103030,[‡]
00B6    ,31,103030,[¶]
25EF    ,31,103030,[◯]
 
FF10    ,32,133030,[０] -> [0] (NFKC)
FF11    ,32,133030,[１] -> [1] (NFKC)
FF12    ,32,133030,[２] -> [2] (NFKC)
FF13    ,32,133030,[３] -> [3] (NFKC)
FF14    ,32,133030,[４] -> [4] (NFKC)
FF15    ,32,133030,[５] -> [5] (NFKC)
FF16    ,32,133030,[６] -> [6] (NFKC)
FF17    ,32,133030,[７] -> [7] (NFKC)
FF18    ,32,133030,[８] -> [8] (NFKC)
FF19    ,32,133030,[９] -> [9] (NFKC)
FF21    ,32,133030,[Ａ] -> [A] (NFKC)
FF22    ,32,133030,[Ｂ] -> [B] (NFKC)
FF23    ,32,133030,[Ｃ] -> [C] (NFKC)
FF24    ,32,133030,[Ｄ] -> [D] (NFKC)
FF25    ,32,133030,[Ｅ] -> [E] (NFKC)
FF26    ,32,133030,[Ｆ] -> [F] (NFKC)
FF27    ,32,133030,[Ｇ] -> [G] (NFKC)
FF28    ,32,133030,[Ｈ] -> [H] (NFKC)
FF29    ,32,133030,[Ｉ] -> [I] (NFKC)
FF2A    ,32,133030,[Ｊ] -> [J] (NFKC)
FF2B    ,32,133030,[Ｋ] -> [K] (NFKC)
FF2C    ,32,133030,[Ｌ] -> [L] (NFKC)
FF2D    ,32,133030,[Ｍ] -> [M] (NFKC)
FF2E    ,32,133030,[Ｎ] -> [N] (NFKC)
FF2F    ,32,133030,[Ｏ] -> [O] (NFKC)
FF30    ,32,133030,[Ｐ] -> [P] (NFKC)
FF31    ,32,133030,[Ｑ] -> [Q] (NFKC)
FF32    ,32,133030,[Ｒ] -> [R] (NFKC)
FF33    ,32,133030,[Ｓ] -> [S] (NFKC)
FF34    ,32,133030,[Ｔ] -> [T] (NFKC)
FF35    ,32,133030,[Ｕ] -> [U] (NFKC)
FF36    ,32,133030,[Ｖ] -> [V] (NFKC)
FF37    ,32,133030,[Ｗ] -> [W] (NFKC)
FF38    ,32,133030,[Ｘ] -> [X] (NFKC)
FF39    ,32,133030,[Ｙ] -> [Y] (NFKC)
FF3A    ,32,133030,[Ｚ] -> [Z] (NFKC)
FF41    ,32,133030,[ａ] -> [a] (NFKC)
FF42    ,32,133030,[ｂ] -> [b] (NFKC)
FF43    ,32,133030,[ｃ] -> [c] (NFKC)
FF44    ,32,133030,[ｄ] -> [d] (NFKC)
FF45    ,32,133030,[ｅ] -> [e] (NFKC)
FF46    ,32,133030,[ｆ] -> [f] (NFKC)
FF47    ,32,133030,[ｇ] -> [g] (NFKC)
FF48    ,32,133030,[ｈ] -> [h] (NFKC)
FF49    ,32,133030,[ｉ] -> [i] (NFKC)
FF4A    ,32,133030,[ｊ] -> [j] (NFKC)
FF4B    ,32,133030,[ｋ] -> [k] (NFKC)
FF4C    ,32,133030,[ｌ] -> [l] (NFKC)
FF4D    ,32,133030,[ｍ] -> [m] (NFKC)
FF4E    ,32,133030,[ｎ] -> [n] (NFKC)
FF4F    ,32,133030,[ｏ] -> [o] (NFKC)
FF50    ,32,133030,[ｐ] -> [p] (NFKC)
FF51    ,32,133030,[ｑ] -> [q] (NFKC)
FF52    ,32,133030,[ｒ] -> [r] (NFKC)
FF53    ,32,133030,[ｓ] -> [s] (NFKC)
FF54    ,32,133030,[ｔ] -> [t] (NFKC)
FF55    ,32,133030,[ｕ] -> [u] (NFKC)
FF56    ,32,133030,[ｖ] -> [v] (NFKC)
FF57    ,32,133030,[ｗ] -> [w] (NFKC)
FF58    ,32,133030,[ｘ] -> [x] (NFKC)
FF59    ,32,133030,[ｙ] -> [y] (NFKC)
FF5A    ,32,133030,[ｚ] -> [z] (NFKC)
 
3041    ,31,103030,[ぁ]
3042    ,31,103030,[あ]
3043    ,31,103030,[ぃ]
3044    ,31,103030,[い]
3045    ,31,103030,[ぅ]
3046    ,31,103030,[う]
3047    ,31,103030,[ぇ]
3048    ,31,103030,[え]
3049    ,31,103030,[ぉ]
304A    ,31,103030,[お]
304B    ,31,103030,[か]
304C    ,31,113030,[が]
304D    ,31,103030,[き]
304E    ,31,113030,[ぎ]
304F    ,31,103030,[く]
3050    ,31,113030,[ぐ]
3051    ,31,103030,[け]
3052    ,31,113030,[げ]
3053    ,31,103030,[こ]
3054    ,31,113030,[ご]
3055    ,31,103030,[さ]
3056    ,31,113030,[ざ]
3057    ,31,103030,[し]
3058    ,31,113030,[じ]
3059    ,31,103030,[す]
305A    ,31,113030,[ず]
305B    ,31,103030,[せ]
305C    ,31,113030,[ぜ]
305D    ,31,103030,[そ]
305E    ,31,113030,[ぞ]
305F    ,31,103030,[た]
3060    ,31,113030,[だ]
3061    ,31,103030,[ち]
3062    ,31,113030,[ぢ]
3063    ,31,103030,[っ]
3064    ,31,103030,[つ]
3065    ,31,113030,[づ]
3066    ,31,103030,[て]
3067    ,31,113030,[で]
3068    ,31,103030,[と]
3069    ,31,113030,[ど]
306A    ,31,103030,[な]
306B    ,31,103030,[に]
306C    ,31,103030,[ぬ]
306D    ,31,103030,[ね]
306E    ,31,103030,[の]
306F    ,31,103030,[は]
3070    ,31,113030,[ば]
3071    ,31,113030,[ぱ]
3072    ,31,103030,[ひ]
3073    ,31,113030,[び]
3074    ,31,113030,[ぴ]
3075    ,31,103030,[ふ]
3076    ,31,113030,[ぶ]
3077    ,31,113030,[ぷ]
3078    ,31,103030,[へ]
3079    ,31,113030,[べ]
307A    ,31,113030,[ぺ]
307B    ,31,103030,[ほ]
307C    ,31,113030,[ぼ]
307D    ,31,113030,[ぽ]
307E    ,31,103030,[ま]
307F    ,31,103030,[み]
3080    ,31,103030,[む]
3081    ,31,103030,[め]
3082    ,31,103030,[も]
3083    ,31,103030,[ゃ]
3084    ,31,103030,[や]
3085    ,31,103030,[ゅ]
3086    ,31,103030,[ゆ]
3087    ,31,103030,[ょ]
3088    ,31,103030,[よ]
3089    ,31,103030,[ら]
308A    ,31,103030,[り]
308B    ,31,103030,[る]
308C    ,31,103030,[れ]
308D    ,31,103030,[ろ]
308E    ,31,103030,[ゎ]
308F    ,31,103030,[わ]
3090    ,31,103030,[ゐ]
3091    ,31,103030,[ゑ]
3092    ,31,103030,[を]
3093    ,31,103030,[ん]
 
30A1    ,31,103030,[ァ]
30A2    ,31,103030,[ア]
30A3    ,31,103030,[ィ]
30A4    ,31,103030,[イ]
30A5    ,31,103030,[ゥ]
30A6    ,31,103030,[ウ]
30A7    ,31,103030,[ェ]
30A8    ,31,103030,[エ]
30A9    ,31,103030,[ォ]
30AA    ,31,103030,[オ]
30AB    ,31,103030,[カ]
30AC    ,31,113030,[ガ]
30AD    ,31,103030,[キ]
30AE    ,31,113030,[ギ]
30AF    ,31,103030,[ク]
30B0    ,31,113030,[グ]
30B1    ,31,103030,[ケ]
30B2    ,31,113030,[ゲ]
30B3    ,31,103030,[コ]
30B4    ,31,113030,[ゴ]
30B5    ,31,103030,[サ]
30B6    ,31,113030,[ザ]
30B7    ,31,103030,[シ]
30B8    ,31,113030,[ジ]
30B9    ,31,103030,[ス]
30BA    ,31,113030,[ズ]
30BB    ,31,103030,[セ]
30BC    ,31,113030,[ゼ]
30BD    ,31,103030,[ソ]
30BE    ,31,113030,[ゾ]
30BF    ,31,103030,[タ]
30C0    ,31,113030,[ダ]
30C1    ,31,103030,[チ]
30C2    ,31,113030,[ヂ]
30C3    ,31,103030,[ッ]
30C4    ,31,103030,[ツ]
30C5    ,31,113030,[ヅ]
30C6    ,31,103030,[テ]
30C7    ,31,113030,[デ]
30C8    ,31,103030,[ト]
30C9    ,31,113030,[ド]
30CA    ,31,103030,[ナ]
30CB    ,31,103030,[ニ]
30CC    ,31,103030,[ヌ]
30CD    ,31,103030,[ネ]
30CE    ,31,103030,[ノ]
30CF    ,31,103030,[ハ]
30D0    ,31,113030,[バ]
30D1    ,31,113030,[パ]
30D2    ,31,103030,[ヒ]
30D3    ,31,113030,[ビ]
30D4    ,31,113030,[ピ]
30D5    ,31,103030,[フ]
30D6    ,31,113030,[ブ]
30D7    ,31,113030,[プ]
30D8    ,31,103030,[ヘ]
30D9    ,31,113030,[ベ]
30DA    ,31,113030,[ペ]
30DB    ,31,103030,[ホ]
30DC    ,31,113030,[ボ]
30DD    ,31,113030,[ポ]
30DE    ,31,103030,[マ]
30DF    ,31,103030,[ミ]
